,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
776,Casper Excalibur G870.1362-BV70R-C,Casper,Oyun,NVIDIA GeForce RTX 5070,Intel Core i7-13620H,16.0,False,15.6,1920,1080,60.0,86135.03,,29031.0,,,29031.0,24148.0
777,Erazer Defender 17 P1 MD600007,Erazer,Oyun,NVIDIA GeForce RTX 5060 115W,Intel Core i7-13620H,16.0,False,17.3,2560,1440,240.0,47999.04,,,18049.0,,18049.0,24148.0
778,MSI Thin 15 B12UC-1479XTR 007,MSI,Oyun,NVIDIA GeForce RTX 3050 45W,Intel Core i7-12650H,64.0,False,15.6,1920,1080,144.0,49190.0,,,10171.0,,10171.0,21884.0
779,MSI Thin 15 B12UC-1479XTRM13,MSI,Oyun,NVIDIA GeForce RTX 3050 45W,Intel Core i7-12650H,64.0,False,15.6,1920,1080,144.0,52999.0,,,10171.0,,10171.0,21884.0
780,Dell G15 Gaming 5530 G155530012U Zi704,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,60.0,71827.98,,19544.0,,,19544.0,30673.0
781,Asus TUF Gaming A15 (2023) FA507NUR-LP034Zi708,Asus,Oyun,NVIDIA GeForce RTX 4050 140W,AMD Ryzen 7 7435HS,48.0,False,15.6,1920,1080,144.0,52703.0,,,14411.0,,14411.0,23336.0
782,Casper Excalibur G870.1362-DF70X-C,Casper,Oyun,NVIDIA GeForce RTX 5070,Intel Core i7-13620H,32.0,False,15.6,1920,1080,60.0,83399.0,,29031.0,,,29031.0,24148.0
783,Monster Abra A7 V15.2.2,Monster,Oyun,NVIDIA GeForce RTX 4050,Intel Core i7-12700H,32.0,False,17.3,1920,1080,144.0,47520.0,,,14411.0,,14411.0,25565.0
784,Lenovo LOQ 15IAX9 83GS007XTR05,Lenovo,Oyun,NVIDIA GeForce RTX 4060 105W,Intel Core i5-12450HX,16.0,False,15.6,1920,1080,144.0,47699.0,,,17452.0,,17452.0,18228.0
785,Lenovo ThinkBook 14 G6 IRL 21KG004NTR ZI710,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,64.0,False,14.0,1920,1200,60.0,43199.04,,2641.0,,,2641.0,26358.0
786,Dell Latitude 3450 WN012L54501425,Dell,Genel Kullanım,Intel Iris Xe Graphics Eligible,Intel Core i5-1335U,96.0,False,14.0,1920,1080,60.0,50728.34,,,,1971.0,1971.0,14242.0
787,"Apple MacBook Pro 14.2"" M4 (10CPU/10GPU)",Apple,İş/Mobil,Apple M4 (10 Çekirdek GPU),Apple M4 (10CPU/10GPU),16.0,False,14.2,3024,1964,120.0,73999.0,,,,,,32932.0
788,"Apple MacBook Pro 14.2"" M4 (10CPU/10GPU)",Apple,İş/Mobil,Apple M4 (10 Çekirdek GPU),Apple M4 (10CPU/10GPU),16.0,False,14.2,3024,1964,120.0,73999.0,,,,,,32932.0
789,Casper Excalibur G870.1362-BV60A-C,Casper,Oyun,NVIDIA GeForce RTX 5060,Intel Core i7-13620H,16.0,False,15.6,1920,1080,60.0,58781.03,,20706.0,,,20706.0,24148.0
790,Casper Excalibur G870.1362-BV60R-C,Casper,Oyun,NVIDIA GeForce RTX 5060,Intel Core i7-13620H,16.0,False,15.6,1920,1080,60.0,60705.04,,20706.0,,,20706.0,24148.0
791,HP OMEN Gaming Laptop 16-k0008nt (7H8Z5EA) (32GB/1TBSSD/DOS),HP,Oyun,NVIDIA GeForce RTX 3070 Ti,Intel Core i7-12700H,32.0,False,16.1,1920,1080,144.0,60999.0,,23334.0,,,23334.0,25565.0
792,Lenovo ThinkPad E14 G6 21M8S0LRTX Zi718,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,48.0,False,14.0,1920,1200,60.0,49390.08,,2161.5,,,2161.5,16331.0
793,Lenovo ThinkPad E14 G6 21M70031TX ZI711,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,14.0,1920,1200,60.0,56332.8,,5506.0,,,5506.0,24826.0
794,Casper Excalibur G870.1362-DF60X-C,Casper,Oyun,NVIDIA GeForce RTX 5060,Intel Core i7-13620H,32.0,False,15.6,1920,1080,60.0,53674.05,,20706.0,,,20706.0,24148.0
795,Monster Abra A5 V20.7.7,Monster,Oyun,NVIDIA GeForce RTX 4050 140W,Intel Core i7-13620H,8.0,False,15.6,1920,1080,165.0,47799.0,,,14411.0,,14411.0,24148.0
796,Asus Zenbook S16 OLED UM5606WA-RK236W,Asus,İş/Mobil,AMD Radeon 890M,AMD Ryzen AI 9 HX 370,32.0,False,16.0,2880,1800,120.0,153999.0,,8242.0,,,8242.0,35174.0
797,Asus Zenbook S16 OLED UM5606WA-RK295W,Asus,İş/Mobil,AMD Radeon 890M,AMD Ryzen AI 9 HX 370,32.0,False,16.0,2880,1800,120.0,86426.0,,8242.0,,,8242.0,35174.0
